Shape of X [B, N]: torch.Size([1, 472])
Shape of y: torch.Size([1]) torch.int64
| epoch   4 |   340/  360 batches | accuracy    0.800
| epoch   4 |   345/  360 batches | accuracy    0.800
| epoch   4 |   350/  360 batches | accuracy    1.000
| epoch   4 |   355/  360 batches | accuracy    0.800
-----------------------------------------------------------
| end of epoch   4 | time:  1.39s | valid accuracy    0.934
-----------------------------------------------------------
| epoch   5 |     5/  360 batches | accuracy    0.833
| epoch   5 |    10/  360 batches | accuracy    1.000
| epoch   5 |    15/  360 batches | accuracy    0.800
| epoch   5 |    20/  360 batches | accuracy    0.800
| epoch   5 |    25/  360 batches | accuracy    1.000
| epoch   5 |    30/  360 batches | accuracy    1.000
| epoch   5 |    35/  360 batches | accuracy    0.600
| epoch   5 |    40/  360 batches | accuracy    1.000
| epoch   5 |    45/  360 batches | accuracy    1.000
| epoch   5 |    50/  360 batches | accuracy    0.800
| epoch   5 |    55/  360 batches | accuracy    0.800
| epoch   5 |    60/  360 batches | accuracy    1.000
| epoch   5 |    65/  360 batches | accuracy    1.000
| epoch   5 |    70/  360 batches | accuracy    1.000
| epoch   5 |    75/  360 batches | accuracy    1.000
| epoch   5 |    80/  360 batches | accuracy    0.600
| epoch   5 |    85/  360 batches | accuracy    0.600
| epoch   5 |    90/  360 batches | accuracy    0.800
| epoch   5 |    95/  360 batches | accuracy    0.800
| epoch   5 |   100/  360 batches | accuracy    1.000
| epoch   5 |   105/  360 batches | accuracy    1.000
| epoch   5 |   110/  360 batches | accuracy    1.000
| epoch   5 |   115/  360 batches | accuracy    1.000
| epoch   5 |   120/  360 batches | accuracy    0.800
| epoch   5 |   125/  360 batches | accuracy    1.000
| epoch   5 |   130/  360 batches | accuracy    1.000
| epoch   5 |   135/  360 batches | accuracy    0.800
| epoch   5 |   140/  360 batches | accuracy    0.800
| epoch   5 |   145/  360 batches | accuracy    1.000
| epoch   5 |   150/  360 batches | accuracy    0.800
| epoch   5 |   155/  360 batches | accuracy    1.000
